cn_number,reporter,partner_num,partner,product,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Reporter Code,Partner Code,Product Code,source
1,Anguilla,1,North America,Agricultural  &  Related Products Total,301,83,31,94,169,0,218,39,104,0,0,0,0,0,0,0,0,0,AV,R05,M2,GATS
1,Anguilla,1.1,Canada,Agricultural  &  Related Products Total,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,AV,CA,M2,GATS
1,Anguilla,1.2,Mexico,Agricultural  &  Related Products Total,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,AV,MX,M2,GATS
1,Anguilla,1.3,United States,Agricultural  &  Related Products Total,301,83,31,94,158,0,216,38,104,0,0,0,0,0,0,0,0,0,AV,US,M2,GATS
1,Anguilla,2,Caribbean,Agricultural  &  Related Products Total,11,99,6,16,4,0,"5,173",186,17,0,0,0,0,0,0,0,0,0,AV,R10,M2,GATS
1,Anguilla,2.1,St. Kitts and Nevis,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,AV,A1,M2,GATS
1,Anguilla,2.2,Antigua and Barbuda,Agricultural  &  Related Products Total,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,AC,M2,GATS
1,Anguilla,2.3,Barbados,Agricultural  &  Related Products Total,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,BB,M2,GATS
1,Anguilla,2.4,Dominica,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,DO,M2,GATS
1,Anguilla,2.5,Dominican Republic,Agricultural  &  Related Products Total,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,DR,M2,GATS
1,Anguilla,2.6,Jamaica,Agricultural  &  Related Products Total,0,0,0,0,0,0,19,11,0,0,0,0,0,0,0,0,0,0,AV,JM,M2,GATS
1,Anguilla,2.7,Montserrat,Agricultural  &  Related Products Total,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,MH,M2,GATS
1,Anguilla,2.8,Netherlands Antilles,Agricultural  &  Related Products Total,5,34,0,1,1,0,"5,154",173,5,0,0,0,0,0,0,0,0,0,AV,NT,M2,GATS
1,Anguilla,2.9,Saint Lucia,Agricultural  &  Related Products Total,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,ST,M2,GATS
1,Anguilla,2.1,Trinidad and Tobago,Agricultural  &  Related Products Total,0,63,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,TD,M2,GATS
1,Anguilla,2.11,Saint Vincent and the Grenadines,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,VC,M2,GATS
1,Anguilla,2.12,British Virgin Islands,Agricultural  &  Related Products Total,0,0,0,0,3,0,0,1,11,0,0,0,0,0,0,0,0,0,AV,VI,M2,GATS
1,Anguilla,3,Central America,Agricultural  &  Related Products Total,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,AV,R15,M2,GATS
1,Anguilla,3.1,Panama,Agricultural  &  Related Products Total,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,AV,PM,M2,GATS
1,Anguilla,4,South America,Agricultural  &  Related Products Total,217,26,96,965,203,0,"3,667","3,163","4,390",0,0,0,0,0,0,0,0,0,AV,R20,M2,GATS
1,Anguilla,4.1,Guyana,Agricultural  &  Related Products Total,217,26,96,965,203,0,"3,667","3,163","4,390",0,0,0,0,0,0,0,0,0,AV,GY,M2,GATS
1,Anguilla,5,European Union-28,Agricultural  &  Related Products Total,1,1,3,24,0,0,753,949,255,0,0,0,0,0,0,0,0,0,AV,R25,M2,GATS
1,Anguilla,5.1,Ireland,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,AV,EI,M2,GATS
1,Anguilla,5.2,France,Agricultural  &  Related Products Total,1,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,AV,F1,M2,GATS
1,Anguilla,5.3,Netherlands,Agricultural  &  Related Products Total,0,0,0,16,0,0,0,88,43,0,0,0,0,0,0,0,0,0,AV,NL,M2,GATS
1,Anguilla,5.4,United Kingdom,Agricultural  &  Related Products Total,0,0,3,4,0,0,751,847,208,0,0,0,0,0,0,0,0,0,AV,UK,M2,GATS
1,Anguilla,6,Oceania,Agricultural  &  Related Products Total,112,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,R70,M2,GATS
1,Anguilla,6.1,Australia,Agricultural  &  Related Products Total,112,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AV,AS,M2,GATS
1,Anguilla,7,Puerto Rico,Air,,,,,,,,,,,,,,,,,,,,,,PA
1,Anguilla,7.1,Dominican Republic,Air,,,,,,,,,,,,,,,,,,,,,,PA
1,Anguilla,7.2,Dominica,Air,,,,,,,,,,,,,,,,,,,,,,PA
1,Anguilla,7.4,St. Maarten,Sea,,,,,,,,,,,,,,,,,,,,,,PA
1,Anguilla,7.3,Japan,Sea,,,,,,,,,,,,,,,,,,,,,,PA
1,Anguilla,7.4,USVI,Sea,,,,,,,,,,,,,,,,,,,,,,PA
2,Bermuda,1,North America,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,166,369,"2,697","3,666","5,174",0,BD,R05,M2,GATS
2,Bermuda,1.1,Canada,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,102,120,0,BD,CA,M2,GATS
2,Bermuda,1.2,United States,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,166,369,"2,637","3,564","5,053",0,BD,US,M2,GATS
2,Bermuda,2,European Union-28,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,14,46,66,95,145,0,BD,R25,M2,GATS
2,Bermuda,2.1,Belgium,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,BD,B1,M2,GATS
2,Bermuda,2.2,Italy,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,BD,IT,M2,GATS
2,Bermuda,2.3,Netherlands,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,BD,NL,M2,GATS
2,Bermuda,2.4,Spain,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,BD,SP,M2,GATS
2,Bermuda,2.5,United Kingdom,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,7,39,59,93,143,0,BD,UK,M2,GATS
2,Bermuda,3,East Asia,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BD,R40,M2,GATS
2,Bermuda,3.1,China,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BD,CH,M2,GATS
2,Bermuda,4,Miscellaneous Designated Areas,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,"1,858",0,0,0,0,0,BD,R99,M2,GATS
2,Bermuda,4.1,"Areas, not elsewhere specified",Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,"1,858",0,0,0,0,0,BD,15,M2,GATS
2,Bermuda,5,Azores,Sea,,,,,,,,,,,,,,,,,,,,,,PA
2,Bermuda,5.1,Guatemala,Sea,,,,,,,,,,,,,,,,,,,,,,PA
2,Bermuda,5.2,Panama,Sea,,,,,,,,,,,,,,,,,,,,,,PA
2,Bermuda,5.3,Cuba,Sea,,,,,,,,,,,,,,,,,,,,,,PA
2,Bermuda,5.4,Puerto Rico,Sea,,,,,,,,,,,,,,,,,,,,,,PA
2,Bermuda,5.5,USVI,Sea,,,,,,,,,,,,,,,,,,,,,,PA
2,Bermuda,5.6,Dubai,Air,,,,,,,,,,,,,,,,,,,,,,PA
3,Montserrat,1,North America,Agricultural  &  Related Products Total,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,MH,R05,M2,GATS
3,Montserrat,1.1,United States,Agricultural  &  Related Products Total,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,MH,US,M2,GATS
3,Montserrat,2,Caribbean,Agricultural  &  Related Products Total,7,6,0,6,1,10,7,5,5,3,0,0,0,2,4,0,0,0,MH,R10,M2,GATS
3,Montserrat,2.1,St. Kitts and Nevis,Agricultural  &  Related Products Total,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MH,A1,M2,GATS
3,Montserrat,2.2,Antigua and Barbuda,Agricultural  &  Related Products Total,1,4,0,1,0,8,5,3,3,1,0,0,0,2,4,0,0,0,MH,AC,M2,GATS
3,Montserrat,2.3,Anguilla,Agricultural  &  Related Products Total,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MH,AV,M2,GATS
3,Montserrat,2.4,Barbados,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,MH,BB,M2,GATS
3,Montserrat,2.5,Dominica,Agricultural  &  Related Products Total,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,MH,DO,M2,GATS
3,Montserrat,2.6,Netherlands Antilles,Agricultural  &  Related Products Total,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,MH,NT,M2,GATS
3,Montserrat,2.7,Saint Lucia,Agricultural  &  Related Products Total,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MH,ST,M2,GATS
3,Montserrat,2.8,Trinidad and Tobago,Agricultural  &  Related Products Total,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MH,TD,M2,GATS
3,Montserrat,2.9,British Virgin Islands,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MH,VI,M2,GATS
3,Montserrat,3,European Union-28,Agricultural  &  Related Products Total,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,MH,R25,M2,GATS
3,Montserrat,3.1,France,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,MH,F1,M2,GATS
3,Montserrat,3.2,Netherlands,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MH,NL,M2,GATS
3,Montserrat,3.3,United Kingdom,Agricultural  &  Related Products Total,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,MH,UK,M2,GATS
3,Montserrat,4,Sub-Saharan Africa,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,MH,R55,M2,GATS
3,Montserrat,4.1,Togo,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,MH,TO,M2,GATS
3,Montserrat,4.2,Saint Vincent and the Grenadines,Air,,,,,,,,,,,,,,,,,,,,,,PA
3,Montserrat,4.3,Guadeloupe,Air,,,,,,,,,,,,,,,,,,,,,,PA
3,Montserrat,4.4,St. Maarten,Air,,,,,,,,,,,,,,,,,,,,,,PA
3,Montserrat,4.5,Barbados,Air,,,,,,,,,,,,,,,,,,,,,,PA
4,Turks and Caicos Islands,1,North America,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,554,"1,313",0,0,0,0,0,TK,R05,M2,GATS
4,Turks and Caicos Islands,1.1,Canada,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TK,CA,M2,GATS
4,Turks and Caicos Islands,1.2,United States,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,554,"1,313",0,0,0,0,0,TK,US,M2,GATS
4,Turks and Caicos Islands,2,Caribbean,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TK,R10,M2,GATS
4,Turks and Caicos Islands,2.1,"Bahamas, The",Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TK,BF,M2,GATS
4,Turks and Caicos Islands,2.2,Dominican Republic,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TK,DR,M2,GATS
4,Turks and Caicos Islands,2.3,Haiti,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TK,HA,M2,GATS
4,Turks and Caicos Islands,2.4,Saint Vincent and the Grenadines,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TK,VC,M2,GATS
4,Turks and Caicos Islands,3,European Union-28,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TK,R25,M2,GATS
4,Turks and Caicos Islands,3.1,Netherlands,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TK,NL,M2,GATS
4,Turks and Caicos Islands,3.2,United Kingdom,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TK,UK,M2,GATS
4,Turks and Caicos Islands,4,Miscellaneous Designated Areas,Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,737,604,0,0,0,0,0,TK,R99,M2,GATS
4,Turks and Caicos Islands,4.1,"Areas, not elsewhere specified",Agricultural  &  Related Products Total,0,0,0,0,0,0,0,0,0,0,0,737,604,0,0,0,0,0,TK,15,M2,GATS
4,Turks and Caicos Islands,4.2,Antigua and Barbuda,Air,,,,,,,,,,,,,,,,,,,,,,PA
4,Turks and Caicos Islands,4.3,Jamaica,Air,,,,,,,,,,,,,,,,,,,,,,PA
5,British Virgin Islands,1,Caribbean,Air,,,,,,,,,,,,,,,,,,,,,,PA
5,British Virgin Islands,1.1,Caribbean,Sea,,,,,,,,,,,,,,,,,,,,,,PA
5,British Virgin Islands,1.2,United States,Air,,,,,,,,,,,,,,,,,,,,,,PA
5,British Virgin Islands,1.3,St. Lucia,Sea,,,,,,,,,,,,,,,,,,,,,,PA
5,British Virgin Islands,1.4,Dominica,Sea,,,,,,,,,,,,,,,,,,,,,,PA
5,British Virgin Islands,1.5,Puerto Rico,Sea,,,,,,,,,,,,,,,,,,,,,,PA
5,British Virgin Islands,1.6,Antigua and Barbuda,Sea,,,,,,,,,,,,,,,,,,,,,,PA
5,British Virgin Islands,1.7,St. Maarten,Sea,,,,,,,,,,,,,,,,,,,,,,PA
5,British Virgin Islands,1.8,Dominican Republic,Sea,,,,,,,,,,,,,,,,,,,,,,PA
5,British Virgin Islands,1.9,St. Kitts and Nevis,Sea,,,,,,,,,,,,,,,,,,,,,,PA
6,Cayman Islands,1,United States,Air,,,,,,,,,,,,,,,,,,,,,,PA
6,Cayman Islands,1.1,Jamaica,Air,,,,,,,,,,,,,,,,,,,,,,PA
6,Cayman Islands,1.2,"Bahamas, The",Air,,,,,,,,,,,,,,,,,,,,,,PA
6,Cayman Islands,1.3,Cuba,Air,,,,,,,,,,,,,,,,,,,,,,PA
6,Cayman Islands,1.4,Honduras,Air,,,,,,,,,,,,,,,,,,,,,,PA
6,Cayman Islands,1.5,Panama,Air,,,,,,,,,,,,,,,,,,,,,,PA
6,Cayman Islands,1.6,Mexico,Sea,,,,,,,,,,,,,,,,,,,,,,PA
6,Cayman Islands,1.7,Jamaica,Sea,,,,,,,,,,,,,,,,,,,,,,PA
6,Cayman Islands,1.8,Colombia,Sea,,,,,,,,,,,,,,,,,,,,,,PA
