"matchedname","MV","SC"
"Abrus precatorius",0,1
"Achyranthes aspera",0,1
"Acorus calamus",1,0
"Adenanthera pavonina",1,1
"Agave americana",0,1
"Ageratum conyzoides",1,1
"Albizia lebbeck",1,1
"Allamanda cathartica",0,1
"Allium ampeloprasum",0,1
"Alternanthera pungens",0,1
"Amaranthus cruentus",1,0
"Amaranthus dubius",0,1
"Amaranthus viridis",1,1
"Anacardium occidentale",0,1
"Ananas comosus",0,1
"Annona glabra",1,0
"Annona reticulata",1,1
"Annona squamosa",1,0
"Antigonon leptopus",0,1
"Arachis hypogaea",0,1
"Ardisia crenata",0,1
"Ardisia elliptica",1,0
"Artocarpus altilis",0,1
"Avena sterilis",0,1
"Barleria cristata",0,1
"Barleria prionitis",1,1
"Bidens pilosa",1,1
"Boerhavia coccinea",0,1
"Boerhavia diffusa",1,1
"Boerhavia erecta",1,0
"Bougainvillea glabra",1,1
"Caesalpinia bonduc",0,1
"Canavalia ensiformis",1,0
"Canavalia rosea",1,1
"Capsicum annuum",1,1
"Capsicum frutescens",0,1
"Cardiospermum halicacabum",1,1
"Carica papaya",1,1
"Cascabela thevetia",0,1
"Cassia fistula",0,1
"Cassytha filiformis",1,1
"Casuarina equisetifolia",0,1
"Celosia argentea",1,0
"Cenchrus echinatus",1,1
"Centella asiatica",0,1
"Centrosema pubescens",0,1
"Ceratopteris thalictroides",0,1
"Cladium mariscus",1,0
"Clitoria ternatea",1,1
"Cocos nucifera",1,1
"Coffea arabica",0,1
"Colocasia esculenta",0,1
"Colubrina asiatica",0,1
"Corchorus aestuans",1,1
"Cordia sebestena",1,1
"Cordia subcordata",1,1
"Crotalaria pallida",0,1
"Crotalaria retusa",1,1
"Cucumis anguria",0,1
"Cucumis melo",1,1
"Cynodon dactylon",0,1
"Cyperus articulatus",0,1
"Cyperus compressus",0,1
"Cyperus dubius",0,1
"Cyperus flavidus",0,1
"Cyperus haspan",0,1
"Cyperus odoratus",0,1
"Cyperus rotundus",1,1
"Dactyloctenium aegyptium",1,1
"Datura metel",1,1
"Desmanthus virgatus",0,1
"Desmodium triflorum",1,1
"Digitaria horizontalis",0,1
"Digitaria longiflora",1,0
"Digitaria sanguinalis",1,1
"Digitaria setigera",1,1
"Dioscorea alata",0,1
"Dioscorea bulbifera",1,1
"Dodonaea viscosa",1,1
"Echinochloa colona",0,1
"Eleocharis geniculata",1,0
"Elephantopus mollis",0,1
"Eleusine indica",1,1
"Eragrostis amabilis",1,1
"Eucalyptus camaldulensis",0,1
"Eugenia uniflora",0,1
"Euphorbia heterophylla",1,1
"Euphorbia hirta",1,1
"Euphorbia hypericifolia",0,1
"Euphorbia indica",1,1
"Euphorbia thymifolia",0,1
"Ficus benghalensis",0,1
"Fimbristylis littoralis",0,1
"Gaillardia pulchella",0,1
"Gloriosa superba",1,1
"Glycine max",0,1
"Gossypium hirsutum",1,1
"Guettarda speciosa",1,1
"Heliotropium indicum",0,1
"Heliotropium supinum",0,1
"Hibiscus rosa-sinensis",1,1
"Hylocereus undatus",0,1
"Hyparrhenia rufa",0,1
"Indigofera suffruticosa",0,1
"Indigofera tinctoria",1,1
"Ipomoea aquatica",1,0
"Ipomoea batatas",0,1
"Ipomoea cairica",0,1
"Ipomoea hederifolia",0,1
"Ipomoea quamoclit",1,0
"Ipomoea violacea",1,1
"Jatropha curcas",0,1
"Jatropha podagrica",0,1
"Justicia betonica",0,1
"Lablab purpureus",1,0
"Lantana camara",1,1
"Launaea sarmentosa",1,1
"Leucaena leucocephala",1,1
"Malvastrum coromandelianum",0,1
"Mangifera indica",0,1
"Manihot esculenta",1,0
"Melastoma malabathricum",0,1
"Melinis repens",0,1
"Mimosa pudica",0,1
"Mirabilis jalapa",0,1
"Momordica balsamina",0,1
"Momordica charantia",1,1
"Morinda citrifolia",1,1
"Moringa oleifera",1,1
"Muntingia calabura",1,0
"Nerium oleander",1,0
"Nicotiana tabacum",0,1
"Ochna pulchra",0,1
"Ocimum americanum",0,1
"Ocimum basilicum",1,1
"Ocimum gratissimum",1,1
"Oldenlandia corymbosa",1,1
"Opuntia humifusa",0,1
"Parthenium hysterophorus",1,1
"Paspalum paniculatum",0,1
"Paspalum scrobiculatum",0,1
"Paspalum vaginatum",0,1
"Passiflora edulis",1,1
"Passiflora foetida",1,1
"Passiflora laurifolia",1,0
"Passiflora quadrangularis",0,1
"Passiflora suberosa",1,1
"Persea americana",0,1
"Phaseolus lunatus",1,0
"Phyla nodiflora",1,1
"Phyllanthus amarus",1,1
"Phyllanthus niruri",1,1
"Phyllanthus tenellus",0,1
"Phyllanthus urinaria",1,1
"Physalis angulata",1,0
"Physalis pubescens",1,0
"Pithecellobium dulce",0,1
"Pityrogramma calomelanos",0,1
"Portulaca oleracea",0,1
"Portulaca pilosa",1,1
"Portulaca quadrifida",0,1
"Potamogeton nodosus",0,1
"Prunus cerasifera",0,1
"Psidium guajava",1,0
"Pteris vittata",0,1
"Punica granatum",1,0
"Ricinus communis",1,1
"Rivina humilis",0,1
"Rubus rosifolius",0,1
"Russelia equisetiformis",0,1
"Scoparia dulcis",0,1
"Senna occidentalis",1,1
"Sesbania grandiflora",1,0
"Setaria barbata",0,1
"Sida rhombifolia",0,1
"Sida spinosa",0,1
"Sigesbeckia orientalis",0,1
"Solanum americanum",0,1
"Solanum dulcamara",1,0
"Solanum nigrum",0,1
"Solanum torvum",0,1
"Solanum tuberosum",1,0
"Sorghum arundinaceum",0,1
"Sorghum bicolor",1,1
"Sphaerostephanos unitus",0,1
"Stachytarpheta jamaicensis",1,1
"Stachytarpheta urticifolia",0,1
"Striga asiatica",0,1
"Syngonium podophyllum",0,1
"Syzygium jambos",0,1
"Tamarindus indica",0,1
"Tephrosia purpurea",1,1
"Terminalia catappa",0,1
"Thunbergia grandiflora",0,1
"Tribulus cistoides",0,1
"Tridax procumbens",1,1
"Triumfetta rhomboidea",0,1
"Turnera ulmifolia",1,1
"Typha angustifolia",0,1
"Typha domingensis",0,1
"Urena lobata",0,1
"Vigna marina",1,1
"Vigna trilobata",1,0
"Vigna unguiculata",1,1
"Vitex trifolia",0,1
"Youngia japonica",0,1
"Zea mays",1,0
"Zephyranthes candida",0,1
"Zinnia elegans",0,1
"Ziziphus mauritiana",1,0
"Zostera marina",1,0
