"species","AI","BM","KY","MS","TC","VG","origin"
"Abelmoschus moschatus",0,0,0,0,0,0,"gbif"
"Abutilon grandifolium",0,0,0,0,0,0,"danielle"
"Abies lasiocarpa",0,0,0,0,0,0,"gbif"
"Abrus precatorius",1,0,1,1,1,1,"gbif"
"Abrus precatorius",0,0,0,0,0,0,"caribdb"
"Abutilon theophrasti",0,1,0,0,0,0,"gbif"
"Acacia auriculiformis",0,0,0,0,0,0,"caribdb"
"Acacia confusa",0,0,0,0,0,0,"danielle"
"Acacia dealbata",0,1,0,0,0,0,"gbif"
"Acacia decurrens",0,0,0,0,0,0,"gbif"
"Acacia farnesiana",0,0,0,0,0,0,"caribdb"
"Acacia longifolia",0,0,0,0,0,0,"gbif"
"Acacia mangium",0,0,0,0,0,0,"gbif"
"Acacia mangium",0,0,0,0,0,0,"caribdb"
"Acacia mearnsii",0,0,0,0,0,0,"gbif"
"Acacia nilotica",1,0,0,0,0,0,"caribdb"
"Acacia retinodes",0,0,0,0,0,0,"gbif"
"Acacia verticillata",0,0,0,0,0,0,"gbif"
"Acaena ovalifolia",0,0,0,0,0,0,"gbif"
"Acalypha alopecuroidea",0,0,1,0,0,0,"gbif"
"Acanthospermum australe",0,0,0,0,0,0,"gbif"
"Acanthospermum hispidum",0,0,0,1,0,1,"gbif"
"Acanthus mollis",0,0,0,0,0,0,"gbif"
"Acer negundo",0,0,0,0,0,0,"gbif"
"Acer platanoides",0,0,0,0,0,0,"gbif"
"Acer pseudoplatanus",0,0,0,0,0,0,"gbif"
"Acer saccharum",0,0,0,0,0,0,"gbif"
"Achillea millefolium",0,0,0,0,0,0,"gbif"
"Achyranthes aspera",1,0,1,1,1,1,"gbif"
"Achyranthes sicula",0,0,0,0,0,0,"gbif"
"Aconitum napellus",0,0,0,0,0,0,"gbif"
"Acroceras zizanioides",0,0,0,0,0,0,"gbif"
"Adenanthera pavonina",1,1,0,1,0,1,"gbif"
"Adenanthera pavonina",0,0,0,0,0,0,"caribdb"
"Adiantum hispidulum",0,0,0,0,0,0,"danielle"
"Adiantum raddianum",0,0,0,0,0,0,"danielle"
"Adiantum tenerum",0,0,0,0,0,0,"danielle"
"Aegilops triuncialis",0,0,0,0,0,0,"gbif"
"Aeschynomene americana",0,0,0,0,0,1,"gbif"
"Aeschynomene indica",0,0,0,0,0,0,"gbif"
"Aeschynomene rudis",0,0,0,0,0,0,"gbif"
"Aeschynomene villosa",0,0,0,1,0,0,"gbif"
"Aeschynomene virginica",0,0,0,0,0,0,"gbif"
"Aesculus glabra",0,0,0,0,0,0,"gbif"
"Aesculus hippocastanum",0,0,0,0,0,0,"gbif"
"Agapanthus praecox",0,0,0,0,0,0,"gbif"
"Agave americana",0,0,0,0,0,0,"gbif"
"Agave attenuata",0,0,0,0,0,0,"gbif"
"Agave sisalana",0,1,0,0,1,0,"gbif"
"Agave vivipara",1,0,0,0,0,0,"gbif"
"Ageratina adenophora",0,0,0,0,0,0,"caribdb"
"Ageratum conyzoides",1,0,0,1,1,1,"gbif"
"Ageratum houstonianum",0,0,0,0,0,0,"gbif"
"Agrimonia gryposepala",0,0,0,0,0,0,"gbif"
"Agrostis capillaris",0,0,0,0,0,0,"gbif"
"Agrostis gigantea",0,0,0,0,0,0,"gbif"
"Agrostis scabra",0,0,0,0,0,0,"gbif"
"Agrostis stolonifera",0,0,0,0,0,0,"gbif"
"Ailanthus altissima",0,0,0,0,0,0,"gbif"
"Aira praecox",0,0,0,0,0,0,"gbif"
"Ajuga reptans",0,0,0,0,0,0,"gbif"
"Albizia julibrissin",0,0,0,0,0,0,"gbif"
"Albizia lebbeck",1,1,0,0,0,0,"gbif"
"Albizia lebbeck",0,1,0,0,0,0,"caribdb"
"Albizia procera",0,0,0,0,0,0,"caribdb"
"Alcea rosea",0,1,0,0,0,0,"gbif"
"Aleurites fordii",0,0,0,0,0,0,"caribdb"
"Aleurites moluccana",0,0,0,0,0,0,"caribdb"
"Allamanda blanchetii",0,0,0,0,0,0,"danielle"
"Allamanda cathartica",0,1,1,1,0,1,"gbif"
"Allionia incarnata",0,0,0,0,0,0,"gbif"
"Allium ampeloprasum",0,0,0,0,0,0,"gbif"
"Allium canadense",0,0,0,0,0,0,"gbif"
"Allium cepa",0,0,0,0,0,0,"gbif"
"Alnus glutinosa",0,0,0,0,0,0,"gbif"
"Aloe arborescens",0,0,0,0,0,0,"gbif"
"Aloe vera",0,0,0,0,0,0,"danielle"
"Alopecurus aequalis",0,0,0,0,0,0,"gbif"
"Alopecurus geniculatus",0,0,0,0,0,0,"gbif"
"Alopecurus pratensis",0,0,0,0,0,0,"gbif"
"Aloysia citriodora",0,0,0,0,0,0,"danielle"
"Alpinia allughas",0,0,0,0,0,0,"caribdb"
"Alpinia mutica",0,0,0,0,0,0,"danielle"
"Alpinia purpurata",0,0,0,0,0,0,"danielle"
"Alstonia macrophylla",0,0,0,0,0,0,"danielle"
"Alstroemeria aurea",0,0,0,0,0,0,"gbif"
"Alternanthera philoxeroides",0,0,0,0,0,0,"caribdb"
"Alternanthera pungens",0,0,0,0,0,0,"gbif"
"Alysicarpus vaginalis",0,0,0,0,0,0,"caribdb"
"Amaranthus albus",0,0,0,0,0,0,"gbif"
"Amaranthus bouchonii",0,0,0,0,0,0,"gbif"
"Amaranthus caudatus",1,0,0,0,0,0,"gbif"
"Amaranthus cruentus",1,0,0,0,0,0,"gbif"
"Amaranthus deflexus",0,0,0,0,0,0,"gbif"
"Amaranthus dubius",1,0,1,0,0,0,"gbif"
"Amaranthus hybridus",0,1,0,0,1,0,"gbif"
"Amaranthus retroflexus",0,0,0,0,0,0,"gbif"
"Amaranthus spinosus",1,0,0,1,0,1,"gbif"
"Amaranthus thunbergii",0,0,0,0,0,0,"gbif"
"Amaranthus tricolor",0,0,0,0,0,1,"gbif"
"Amaryllis belladonna",1,1,0,0,0,0,"gbif"
"Ambrosia artemisiifolia",1,1,0,0,0,0,"gbif"
"Ambrosia confertiflora",0,0,0,0,0,0,"gbif"
"Ambrosia psilostachya",0,0,0,0,0,0,"gbif"
"Ambrosia tenuifolia",0,0,0,0,0,0,"gbif"
"Ammannia auriculata",0,0,0,0,0,0,"gbif"
"Ammannia baccifera",0,0,0,0,0,0,"gbif"
"Ammannia coccinea",1,0,0,0,1,1,"gbif"
"Ammi majus",0,1,0,0,0,0,"gbif"
"Anacardium occidentale",1,0,0,1,0,1,"gbif"
"Ananas comosus",0,0,0,0,0,1,"gbif"
"Anchusa officinalis",0,0,0,0,0,0,"gbif"
"Andropogon bicornis",0,0,0,1,0,1,"gbif"
"Andropogon distachyos",0,0,0,0,0,0,"gbif"
"Andropogon gayanus",0,0,0,0,0,0,"gbif"
"Andropogon glomeratus",0,1,1,0,1,0,"gbif"
"Andropogon lateralis",0,0,0,0,0,0,"gbif"
"Andropogon ternarius",0,0,0,0,0,0,"gbif"
"Andropogon virginicus",0,1,0,0,0,0,"gbif"
"Anethum graveolens",0,0,0,0,1,0,"gbif"
"Angiopteris evecta",0,0,0,0,0,0,"danielle"
"Annona glabra",1,0,0,1,0,1,"gbif"
"Annona reticulata",0,0,1,1,0,0,"gbif"
"Annona squamosa",1,1,1,1,0,1,"gbif"
"Anoda cristata",0,0,0,0,0,0,"gbif"
"Anredera cordifolia",0,1,0,0,0,0,"gbif"
"Anredera cordifolia",0,0,0,0,0,0,"caribdb"
"Anthemis arvensis",0,0,0,0,0,0,"gbif"
"Anthemis cotula",0,1,0,0,0,0,"gbif"
"Anthoxanthum odoratum",0,0,0,0,0,0,"gbif"
"Antigonon leptopus",0,0,1,1,0,0,"gbif"
"Antigonon leptopus",0,0,1,0,0,0,"caribdb"
"Aphanes arvensis",0,0,0,0,0,0,"gbif"
"Apium graveolens",0,1,0,0,0,0,"gbif"
"Apocynum androsaemifolium",0,0,0,0,0,0,"gbif"
"Aquilegia vulgaris",0,1,0,0,0,0,"gbif"
"Arabidopsis thaliana",0,0,0,0,0,0,"gbif"
"Arachis hypogaea",1,0,0,0,0,0,"gbif"
"Araucaria columnaris",0,0,0,0,0,0,"danielle"
"Araucaria heterophylla",0,1,0,0,0,0,"gbif"
"Archontophoenix alexandrae",0,0,0,0,0,0,"danielle"
"Arctostaphylos pungens",0,0,0,0,0,0,"gbif"
"Arctotheca calendula",0,0,0,0,0,0,"gbif"
"Ardisia crenata",0,0,0,0,0,0,"gbif"
"Ardisia elliptica",0,1,0,0,0,0,"gbif"
"Ardisia solanacea",0,0,0,0,0,0,"caribdb"
"Arenga pinnata",0,0,0,0,0,0,"danielle"
"Argemone mexicana",1,1,1,0,1,1,"gbif"
"Argemone ochroleuca",0,0,0,0,0,0,"gbif"
"Aristea ecklonii",0,0,0,0,0,0,"gbif"
"Aristida purpurascens",0,0,0,0,0,0,"gbif"
"Aristolochia elegans",0,1,0,0,0,0,"gbif"
"Aristolochia littoralis",0,0,0,0,0,0,"danielle"
"Aristolochia ringens",0,0,0,0,0,0,"gbif"
"Artabotrys hexapetalus",0,0,0,0,0,0,"danielle"
"Artemisia absinthium",0,0,0,0,0,0,"gbif"
"Artemisia californica",0,0,0,0,0,0,"gbif"
"Artemisia ludoviciana",0,0,0,0,0,0,"gbif"
"Artemisia vulgaris",0,0,0,0,0,0,"gbif"
"Arthraxon hispidus",0,0,0,0,0,0,"gbif"
"Arthrostemma ciliatum",0,0,0,0,0,0,"danielle"
"Artocarpus altilis",1,0,1,1,0,0,"gbif"
"Artocarpus altilis",0,0,0,0,0,0,"caribdb"
"Arundina graminifolia",0,0,0,0,0,0,"danielle"
"Arundo donax",0,1,0,0,0,0,"gbif"
"Arundo donax",0,1,0,0,0,0,"caribdb"
"Asclepias curassavica",1,1,1,1,1,0,"gbif"
"Asclepias incarnata",0,0,0,0,0,0,"gbif"
"Asclepias syriaca",0,1,0,0,0,0,"gbif"
"Asparagus africanus",0,1,0,0,0,0,"gbif"
"Asparagus densiflorus",0,1,0,0,0,0,"gbif"
"Asparagus densiflorus",0,1,0,0,0,0,"caribdb"
"Asparagus officinalis",0,0,0,0,0,0,"gbif"
"Asparagus plumosus",0,0,0,0,0,0,"gbif"
"Asparagus setaceus",0,1,0,0,0,0,"gbif"
"Aster amellus",0,0,0,0,0,0,"gbif"
"Astragalus garbancillo",0,0,0,0,0,0,"gbif"
"Asystasia gangetica",0,0,0,0,0,0,"danielle"
"Atriplex hortensis",0,0,0,0,0,0,"gbif"
"Atriplex patula",0,0,0,0,0,0,"gbif"
"Atriplex rosea",0,0,0,0,0,0,"gbif"
"Avena barbata",0,0,1,0,0,0,"gbif"
"Avena fatua",0,1,0,0,0,0,"gbif"
"Avena sativa",0,1,0,0,0,0,"gbif"
"Avena sterilis",0,0,1,0,0,0,"gbif"
"Avena strigosa",0,0,0,0,0,0,"gbif"
"Avicennia nitida",0,0,0,0,0,0,"gbif"
"Axonopus fissifolius",0,0,0,0,0,0,"gbif"
"Azadirachta indica",0,0,0,0,0,0,"caribdb"
"Azolla caroliniana",0,0,0,0,0,0,"gbif"
"Azolla filiculoides",0,0,0,0,0,0,"gbif"
"Baccharis halimifolia",0,0,0,0,0,0,"gbif"
"Baccharis salicifolia",0,0,0,0,0,0,"gbif"
"Baltimora recta",0,0,0,0,0,0,"gbif"
"Bambusa balcooa",0,0,0,0,0,0,"gbif"
"Bambusa vulgaris",0,0,0,0,0,0,"caribdb"
"Barbarea verna",0,0,0,0,0,0,"gbif"
"Barleria cristata",0,0,0,0,0,0,"gbif"
"Barleria lupulina",1,1,0,0,0,0,"gbif"
"Barleria prionitis",0,0,0,0,0,0,"gbif"
"Barleria repens",0,0,0,0,0,0,"danielle"
"Barleria strigosa",1,0,0,0,0,0,"gbif"
"Barringtonia asiatica",0,0,0,0,0,0,"gbif"
"Barringtonia asiatica",0,0,0,0,0,0,"caribdb"
"Basella alba",0,0,0,0,0,0,"gbif"
"Basilicum polystachyon",0,0,0,0,0,0,"gbif"
"Bauhinia monandra",0,1,1,0,0,0,"gbif"
"Bauhinia monandra",0,0,0,0,0,0,"caribdb"
"Bauhinia pupurea",0,0,0,0,0,0,"danielle"
"Bauhinia variegata",0,0,0,0,0,0,"gbif"
"Bauhinia variegata",0,0,0,0,0,0,"caribdb"
"Begonia cucullata",0,0,0,0,0,0,"danielle"
"Begonia foliosa",0,0,0,0,0,0,"danielle"
"Begonia hirtella",0,0,0,0,0,0,"danielle"
"Begonia vitifolia",0,0,0,0,0,0,"danielle"
"Bellis perennis",1,0,0,0,0,0,"gbif"
"Berberis vulgaris",0,1,0,0,0,0,"gbif"
"Bergia capensis",0,0,0,0,0,0,"gbif"
"Bertholettia excelsa",0,0,0,0,0,0,"caribdb"
"Berula erecta",0,0,0,0,0,0,"gbif"
"Beta vulgaris",0,0,0,0,0,0,"gbif"
"Betula nigra",0,0,0,0,0,0,"gbif"
"Betula pendula",0,0,0,0,0,0,"gbif"
"Bidens aurea",0,0,0,0,0,0,"gbif"
"Bidens bipinnata",1,0,0,0,0,0,"gbif"
"Bidens pilosa",1,1,1,1,1,0,"gbif"
"Bidens subalternans",0,0,0,0,0,0,"gbif"
"Bidens tripartita",0,0,0,0,0,0,"gbif"
"Bischofia javanica",0,1,0,0,0,0,"gbif"
"Bixa orellana",1,0,0,1,0,0,"gbif"
"Blechnum occidentale",0,0,0,1,0,0,"danielle"
"Boerhavia coccinea",1,0,1,1,0,0,"gbif"
"Boerhavia diffusa",1,0,1,0,1,1,"gbif"
"Boerhavia erecta",1,1,1,1,1,0,"gbif"
"Borago officinalis",0,1,0,0,0,0,"gbif"
"Bothriochloa pertusa",1,0,1,0,0,0,"caribdb"
"Bougainvillea glabra",1,1,1,0,0,0,"gbif"
"Boussingaultia leptostachys",0,0,0,0,0,0,"caribdb"
"Bouteloua aristidoides",0,0,0,0,0,0,"gbif"
"Bouteloua barbata",0,0,0,0,0,0,"gbif"
"Bowlesia incana",0,0,0,0,0,0,"gbif"
"Brachiara decumbens",0,0,0,0,0,0,"caribdb"
"Brachiaria arracta",0,0,0,0,0,0,"caribdb"
"Brachiaria eruciformis",0,0,0,0,0,0,"gbif"
"Brassica juncea",0,1,0,1,0,0,"gbif"
"Brassica napus",0,0,0,0,0,0,"gbif"
"Brassica oleracea",0,1,0,0,0,0,"gbif"
"Brassica rapa",0,0,0,0,0,0,"gbif"
"Brexia madagascariensis",0,0,0,0,0,0,"danielle"
"Breynia disticha",0,0,0,0,0,0,"danielle"
"Briza maxima",0,1,0,0,0,0,"gbif"
"Briza media",0,0,0,0,0,0,"gbif"
"Briza minor",0,1,0,0,0,0,"gbif"
"Bromus alopecuros",0,0,0,0,0,0,"gbif"
"Bromus catharticus",0,1,0,0,0,0,"gbif"
"Bromus diandrus",0,0,0,0,0,0,"gbif"
"Bromus inermis",0,0,0,0,0,0,"gbif"
"Bromus japonicus",0,0,0,0,0,0,"gbif"
"Bromus lanceolatus",0,0,0,0,0,0,"gbif"
"Bromus madritensis",0,0,0,0,0,0,"gbif"
"Bromus madritensis",0,0,0,0,0,1,"caribdb"
"Bromus rigidus",0,0,0,0,0,0,"gbif"
"Bromus rigidus",0,0,0,0,0,1,"caribdb"
"Bromus secalinus",0,0,0,0,0,0,"gbif"
"Bromus squarrosus",0,0,0,0,0,0,"gbif"
"Bromus sterilis",0,0,0,0,0,0,"gbif"
"Bromus tectorum",0,0,0,0,0,0,"gbif"
"Bromus tectorum",0,0,0,0,0,0,"caribdb"
"Browallia americana",0,0,0,0,0,0,"gbif"
"Brugmansia ×candida",0,0,0,0,0,0,"danielle"
"Bryophyllum daigremontianum",0,0,0,0,0,0,"danielle"
"Bryophyllum fedtschenkoi",0,0,0,0,0,0,"danielle"
"Bryophyllum pinnatum",0,0,0,0,0,0,"danielle"
"Bryophyllum tubiflorum",0,0,0,0,0,0,"danielle"
"Buddleja davidii",0,0,0,0,0,0,"gbif"
"Buddleja davidii",0,0,0,0,0,0,"caribdb"
"Buddleja lindleyana",0,0,0,0,0,0,"gbif"
"Buddleja madagascariensis",0,1,0,0,0,0,"gbif"
"Bupleurum rotundifolium",0,0,0,0,0,0,"gbif"
"Caesalpinia bonduc",1,1,1,1,1,0,"gbif"
"Caesalpinia decapetala",0,0,0,0,0,0,"gbif"
"Caesalpinia gilliesii",0,0,0,0,0,0,"danielle"
"Caesalpinia pulcherrima",1,1,1,1,0,0,"gbif"
"Cajanus cajan",0,0,0,0,0,0,"danielle"
"Calathea picturata",0,0,0,0,0,0,"danielle"
"Callisia fragrans",0,0,0,0,0,0,"danielle"
"Calceolaria tripartita",0,0,0,0,0,0,"gbif"
"Calendula officinalis",0,0,0,0,0,0,"gbif"
"Calliandra calothyrsus",0,0,0,0,0,0,"caribdb"
"Calliandra surinamensis",0,0,0,1,0,0,"gbif"
"Callicarpa americana",0,1,0,0,0,0,"gbif"
"Callinectes sapidus",0,0,0,0,0,0,"caribdb"
"Callisia fragrans",0,0,0,0,0,1,"gbif"
"Callitriche stagnalis",0,0,0,0,0,0,"gbif"
"Calluna vulgaris",0,0,0,0,0,0,"gbif"
"Calophyllum inophyllum",0,0,0,0,0,0,"danielle"
"Calopogonium mucunoides",0,0,0,1,0,0,"gbif"
"Calotropis grandiflora",0,0,0,1,0,0,"danielle"
"Calotropis procera",0,0,0,1,0,0,"caribdb"
"Caltha palustris",0,0,0,0,0,0,"gbif"
"Calyptocarpus vialis",0,0,0,0,0,0,"gbif"
"Campanula rapunculoides",0,0,0,0,0,0,"gbif"
"Campanula rotundifolia",0,0,0,0,0,0,"gbif"
"Canavalia cathartica",0,0,0,0,0,0,"danielle"
"Canavalia sericea",0,0,0,0,0,0,"danielle"
"Canna indica",1,1,0,0,0,0,"gbif"
"Cannabis sativa",0,0,0,0,0,0,"gbif"
"Canotia holacantha",0,0,0,0,0,0,"gbif"
"Capsicum annuum",0,1,1,1,1,1,"gbif"
"Capsicum frutescens",0,1,0,1,0,1,"gbif"
"Caragana arborescens",0,0,0,0,0,0,"gbif"
"Cardamine flexuosa",0,0,0,0,0,0,"gbif"
"Cardamine flexuosa",0,0,0,0,0,0,"caribdb"
"Cardamine hirsuta",0,0,0,0,0,0,"gbif"
"Cardamine pensylvanica",0,0,0,0,0,0,"gbif"
"Cardiospermum grandiflorum",1,1,0,0,0,0,"gbif"
"Cardiospermum halicacabum",0,0,1,0,1,0,"gbif"
"Carduus nutans",0,0,0,0,0,0,"gbif"
"Carex divulsa",0,0,0,0,0,0,"gbif"
"Carex flacca",0,0,0,0,0,0,"gbif"
"Carex lupulina",0,0,0,0,0,0,"gbif"
"Carica papaya",0,1,0,1,1,0,"gbif"
"Carmona retusa",0,0,0,0,0,0,"danielle"
"Carpinus caroliniana",0,0,0,0,0,0,"gbif"
"Carthamus tinctorius",0,0,0,0,0,1,"gbif"
"Carum carvi",0,0,0,0,0,0,"gbif"
"Caryota mitis",0,0,0,0,0,0,"gbif"
"Caryota urens",0,0,0,0,0,0,"danielle"
"Cassia fistula",1,1,0,0,0,0,"gbif"
"Cassia javanica",0,1,0,0,0,0,"gbif"
"Cassia javanica",0,0,0,0,0,0,"caribdb"
"Cassytha filiformis",1,0,1,0,1,0,"gbif"
"Castilla elastica",0,0,0,0,0,0,"gbif"
"Casuarina cristata",0,0,0,0,0,0,"gbif"
"Casuarina cunninghamiana",0,0,0,0,0,0,"gbif"
"Casuarina equisetifolia",1,1,1,0,1,1,"gbif"
"Casuarina glauca",0,0,0,0,0,0,"danielle"
"Catharanthus roseus",0,0,0,0,0,0,"danielle"
"Ceanothus thyrsiflorus",0,0,0,0,0,0,"gbif"
"Cecropia obtusifolia",0,0,0,0,0,0,"danielle"
"Cecropia peltata",1,0,0,0,0,0,"gbif"
"Cedrela odorata",0,1,1,1,0,0,"gbif"
"Celosia argentea",1,0,0,0,0,0,"gbif"
"Celosia cristata",0,0,0,0,0,0,"gbif"
"Celosia trigyna",0,0,0,0,0,0,"gbif"
"Celtis australis",0,0,0,0,0,0,"gbif"
"Celtis laevigata",0,1,0,0,0,0,"gbif"
"Cenchrus biflorus",0,0,0,0,0,0,"gbif"
"Cenchrus brownii",0,0,1,0,1,0,"gbif"
"Cenchrus caliculatus",0,0,0,0,0,0,"gbif"
"Cenchrus ciliaris",0,0,0,0,0,0,"gbif"
"Cenchrus echinatus",1,1,1,1,1,1,"gbif"
"Cenchrus gracillimus",1,0,0,0,1,0,"gbif"
"Cenchrus tribuloides",0,1,1,0,1,0,"gbif"
"Centaurea cineraria",0,0,0,0,0,0,"gbif"
"Centaurea cyanus",0,0,0,0,0,0,"gbif"
"Centaurea diffusa",0,0,0,0,0,0,"gbif"
"Centaurium erythraea",0,0,0,0,0,0,"gbif"
"Centaurium pulchellum",0,1,0,0,0,0,"gbif"
"Centranthus macrosiphon",0,1,0,0,0,0,"gbif"
"Centratherum punctatum",0,0,0,0,0,1,"gbif"
"Centrosema pascuorum",0,0,0,0,0,0,"gbif"
"Centrosema pubescens",1,0,0,0,0,0,"gbif"
"Cephalanthus occidentalis",0,0,0,0,0,0,"gbif"
"Cerastium arvense",0,0,0,0,0,0,"gbif"
"Cerastium fontanum",0,0,0,0,0,0,"gbif"
"Cerastium glomeratum",0,1,0,0,0,0,"gbif"
"Ceratonia siliqua",0,0,0,0,0,0,"gbif"
"Ceratophyllum demersum",0,0,0,0,0,0,"gbif"
"Ceratopteris pteridoides",0,0,0,0,0,0,"gbif"
"Ceratopteris thalictroides",0,0,0,0,0,0,"gbif"
"Cercis canadensis",0,0,0,0,0,0,"gbif"
